route_id_original,service_id,trip_id_original,trip_headsign,direction_id,block_id,shape_id_original,wheelchair_accessible,bikes_allowed,agency_raw_name,original_trip_id,trip_short_name,trip_bikes_allowed,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message,route_id,trip_id,shape_id
11,WKDY,63DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,885,9.0
11,WKDY,64DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,893,9.0
11,WKDY,65DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,901,9.0
11,WKDY,66DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,909,9.0
11,WKDY,67DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,917,9.0
11,WKDY,68DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,925,9.0
11,WKDY,69DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,933,9.0
11,WKDY,70DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,941,9.0
11,WKDY,71DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,949,9.0
11,WKDY,72DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,957,9.0
11,WKDY,73DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,965,9.0
11,WKDY,74DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,973,9.0
11,WKDY,75DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,981,9.0
11,WKDY,76DCM20,Bay Fair,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,989,9.0
11,WKDY,01DCM21,Dublin/Pleasanton,1.0,,12_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,6,10.0
11,WKDY,02DCM21,Dublin/Pleasanton,1.0,,12_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,18,10.0
11,WKDY,03DCM21,Dublin/Pleasanton,1.0,,12_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,30,10.0
11,WKDY,04DCM21,Dublin/Pleasanton,1.0,,12_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,42,10.0
11,WKDY,05DCM21,Dublin/Pleasanton,1.0,,12_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,54,10.0
11,WKDY,06DCM21,Dublin/Pleasanton,1.0,,12_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,66,10.0
11,WKDY,07DCM21,Dublin/Pleasanton,1.0,,12_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,78,10.0
11,WKDY,08DCM21,Dublin/Pleasanton,1.0,,12_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,90,10.0
11,WKDY,09DCM21,Dublin/Pleasanton,1.0,,12_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,102,10.0
11,WKDY,10DCM21,Dublin/Pleasanton,1.0,,12_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,134,10.0
11,WKDY,11DCM21,Dublin/Pleasanton,1.0,,12_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,166,10.0
11,WKDY,12DCM21,Dublin/Pleasanton,1.0,,12_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,198,10.0
11,WKDY,13DCM21,Dublin/Pleasanton,1.0,,12_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,230,10.0
11,WKDY,14DCM21,Dublin/Pleasanton,1.0,,12_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,262,10.0
11,WKDY,15DCM21,Dublin/Pleasanton,1.0,,12_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,294,10.0
11,WKDY,16DCM21,Dublin/Pleasanton,1.0,,12_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,326,10.0
11,WKDY,17DCM21,Dublin/Pleasanton,1.0,,12_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,358,10.0
11,WKDY,18DCM21,Dublin/Pleasanton,1.0,,12_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,376,10.0
11,WKDY,19DCM21,Dublin/Pleasanton,1.0,,12_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,388,10.0
11,WKDY,20DCM21,Dublin/Pleasanton,1.0,,12_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,400,10.0
11,WKDY,21DCM21,Dublin/Pleasanton,1.0,,12_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,412,10.0
11,WKDY,22DCM21,Dublin/Pleasanton,1.0,,12_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,424,10.0
11,WKDY,23DCM21,Dublin/Pleasanton,1.0,,12_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,436,10.0
