trip_id,block_id,route_id,service_id,direction_id,shape_id
394,45,a2c0567,1,0,300a_eb1
395,45,a2c0567,1,1,300a_wb1
396,45,e0c3cae,1,1,387a_wb1
397,45,a652b17,1,0,380a_eb1
398,45,a652b17,1,1,380a_wb1
399,45,e0c3cae,1,0,387a_eb1
400,45,a652b17,1,0,380a_ebsd1
401,45,a652b17,1,1,380a_wb1
402,45,fc4f8bf,1,1,201a_wb1
403,45,fc4f8bf,1,0,201a_eb1
404,46,9016482,1,0,385a_eb1s
405,46,c7347cd,1,1,391a_wb1
406,46,c7347cd,1,0,391a_eb1
407,46,9016482,1,1,385a_wb1a
408,47,a652b17,1,0,380a_eblmc1
409,47,2eef964,1,1,388a_wb1
410,47,c7347cd,1,0,391a_eb1
411,47,9016482,1,1,385a_wb1a
412,47,9016482,1,0,385a_eb1a
413,47,c7347cd,1,1,391a_wb1
414,47,9016482,1,0,385a_eb1a
415,47,c7347cd,1,1,391a_wb1
416,47,fc3f6b8,1,0,390a_eb1
417,47,a2c0567,1,0,300a_eb1
418,47,c7347cd,1,1,391a_wb1
419,47,c7347cd,1,0,391a_eb1
420,47,c7347cd,1,1,391a_wb1
421,47,c7347cd,1,0,391a_eb1
422,48,b2fbe68,1,0,379a_eb1
423,48,2eef964,1,1,388a_wb1
424,48,c7f28b2,1,1,200a_wb1
425,48,c7f28b2,1,0,200a_eb1
426,48,a652b17,1,0,380a_eb1
427,48,9016482,1,0,385a_eb1s
428,48,a2c0567,1,1,300a_wb1
429,48,a2c0567,1,0,300a_eb1
430,48,a2c0567,1,1,300a_wb1
431,48,a652b17,1,1,380a_wb1
432,48,c7347cd,1,0,391a_eb1
433,49,2eef964,1,1,388a_wb1
434,49,3b29cf5,1,0,389a_loop1
435,49,a652b17,1,0,380a_eb1
436,49,e0c3cae,1,1,387a_wb1
437,49,fc4f8bf,1,1,201a_wb1
438,49,fc4f8bf,1,0,201a_eb1
439,49,c7f28b2,1,1,200a_wb1
440,49,c7f28b2,1,0,200a_eb1
441,49,2eef964,1,0,388a_eb1
442,49,2eef964,1,1,388a_wb1
443,49,a652b17,1,0,380a_eb1
444,50,a652b17,1,1,380a_wb1
445,50,e0c3cae,1,0,387a_eb1
446,50,9016482,1,0,385a_eb1a
447,50,c7347cd,1,1,391a_wb1
448,51,a2c0567,1,0,300a_eb1
449,51,c7347cd,1,1,391a_wb1
450,52,c7f28b2,1,1,200a_wb1
451,52,c7f28b2,1,0,200a_eb1
452,52,2eef964,1,0,388a_eb1
453,53,c7347cd,1,0,391a_eb1
454,201,2ad98d8,2,0,396a_eb1
455,201,2ad98d8,2,1,396a_wb1
456,201,2ad98d8,2,0,396a_eb1
457,201,2ad98d8,2,1,396a_wb1
