route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed
4820,4046A5367,594826A4046B5367,,Loop,0,2_shelpofat,1,1
4817,4047A5370,595172A4047B5370,,Loop,0,2_holeve,3,1
4820,3961A5279,584977A3961B5279,,Loop,0,29,1,1
4820,4047A5370,595140A4047B5370,,Loop,0,5_poeve,1,1
4817,4046A5367,595087A4046B5367,,Loop,0,3_holfat,3,1
4820,4047A5371,595145A4047B5371,,Loop,0,6_poeve,1,1
4820,4047A5369,595132A4047B5369,,Loop,0,5_poeve,1,1
4820,4047A5370,595152A4047B5370,,Loop,0,5_poeve,1,1
4817,4047A5371,595177A4047B5371,,Loop,0,4_holeve,3,1
4817,4047A5372,595155A4047B5372,,Loop,0,3_holeve,3,1
4820,3903A5279,584582A3903B5279,,Loop,0,16,1,1
4817,4047A5372,595195A4047B5372,,Loop,0,4_holeve,3,1
4817,4047A5369,595160A4047B5369,,Loop,0,2_holeve,3,1
