stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
272,272,1072 Embarc @ Wldwd,37.446759,-122.127371,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=272
273,273,991 Embarc @ N Cal,37.446439,-122.128122,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=273
274,274,Embarcadero at Fire Hse,37.443046,-122.140369,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=274
275,275,Embarcadero at Newell,37.443123,-122.139386,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=275
277,277,LG Rains 227,37.421872,-122.160506,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=277
278,278,1804 Embarcadero,37.451434,-122.115489,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=278
280,280,Quarry Ext Middle,37.432995,-122.174047,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=280
281,281,Campus at Searsville Lot,37.428128,-122.180951,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=281
282,282,Campus Across SV Lot,37.428377,-122.180825,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=282
283,283,Searsville Across SV Lot,37.428335,-122.18112,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=283
284,284,Searsville at SV Lot,37.428262,-122.181128,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=284
289,289,OCA at Bld 1824,37.431134,-122.190273,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=289
290,290,Oak Creek Club,37.432686,-122.187597,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=290
291,291,OCA at Bld 1704,37.431767,-122.188587,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=291
293,293,OCA at Bld 1470,37.433299,-122.185729,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=293
294,294,OCA at Bld 1380,37.434187,-122.184231,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=294
