stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station
1014050,Lincoln Av:#4500,37.809460,-122.202162,59906,,
1014060,Lincoln Av:#4500,37.809398,-122.202506,57645,,
1014070,Lincoln Av:Burlington St,37.806535,-122.207078,54471,,
1014080,Lincoln Av:Greek Church,37.810321,-122.200501,58457,,
1014090,Lincoln Av:Greek Church,37.810484,-122.200691,58470,,
1014100,Lincoln Av:Head Royce School,37.808095,-122.204860,55992,,
1014110,Lincoln Av:Head Royce School,37.808199,-122.204357,58687,,
1014120,Lincoln Av:Hearst Av,37.802745,-122.211035,51224,,
1014130,Lincoln Av:Hearst Av,37.802937,-122.210999,52688,,
1014140,Lincoln Av:MacArthur Blvd,37.799642,-122.214384,59130,,
1014150,Lincoln Av:Maiden Ln,37.810097,-122.198497,57680,,
1014160,Lincoln Av:Monterey Blvd,37.810284,-122.198354,53341,,
1014170,Lincoln Av:Tiffin Rd,37.806500,-122.207360,58258,,
1014180,Linda Av:Glen Av,37.826358,-122.249754,56702,,
1014190,Linda Av:Piedmont Av,37.827231,-122.250999,59597,,
1014200,Linda Av:Rose Av,37.825183,-122.248082,56112,,
1014210,Link St:105th Av,37.741962,-122.158406,50457,,
1014230,Longridge Rd:Carlston Av,37.809860,-122.232411,53342,,
1014240,Longridge Rd:Grosvenor Pl,37.810030,-122.230808,54472,,
1014260,Longridge Rd:Rosemount Rd,37.809752,-122.239520,50587,,
1014270,Longridge Rd:Verrada Rd,37.809387,-122.235751,57980,,
1014310,MacArthur Blvd:#345,37.813202,-122.251178,58863,,
1014320,MacArthur Blvd:#8658,37.758009,-122.162129,53399,,
1014330,MacArthur Blvd:106th Av,37.743100,-122.152760,54599,,
1014380,MacArthur Blvd:13th Av (Edna Brewer Middle School),37.802297,-122.231741,56511,,
1014390,MacArthur Blvd:35th Av,37.793658,-122.200436,56222,,
1014400,MacArthur Blvd:35th Av,37.793850,-122.200851,54445,,
1014410,MacArthur Blvd:38th Av,37.790837,-122.198091,56785,,
1014420,MacArthur Blvd:39th Av,37.789578,-122.196721,55300,,
1014450,MacArthur Blvd:61st Av,37.775557,-122.182491,53135,,
1014460,MacArthur Blvd:62nd Av,37.774834,-122.180944,55272,,
1014470,MacArthur Blvd:64th Av,37.773905,-122.179601,50155,,
1014480,MacArthur Blvd:64th Av,37.773692,-122.179512,53253,,
1014490,MacArthur Blvd:66th Av,37.772633,-122.178128,58869,,
1014500,MacArthur Blvd:66th Av,37.772770,-122.178095,55838,,
1014510,68th Av:MacArthur Blvd,37.771110,-122.176403,56995,,
1014520,MacArthur Blvd:68th Av,37.771199,-122.176539,56719,,
1014560,MacArthur Blvd:76th Av,37.767531,-122.169587,52772,,
1014570,MacArthur Blvd:77th Av,37.767153,-122.169415,54415,,
1014580,MacArthur Blvd:82nd Av,37.762495,-122.164850,53554,,
1014590,MacArthur Blvd:82nd Av,37.762684,-122.164669,55633,,
1014600,MacArthur Blvd:84th Av,37.761340,-122.163860,58488,,
1014640,MacArthur Blvd:94th Av,37.752825,-122.160256,56366,,
1014650,MacArthur Blvd:94th Av,37.753008,-122.160506,54005,,
1014660,MacArthur Blvd:96th Av,37.751358,-122.159926,53435,,
1014670,MacArthur Blvd:96th Av,37.751214,-122.159640,55857,,
1014680,MacArthur Blvd:98th Av,37.749769,-122.158684,54100,,
1014690,MacArthur Blvd:98th Av,37.750003,-122.159045,55457,,
1014700,MacArthur Blvd:99th Av,37.747296,-122.157058,55676,,
1014710,MacArthur Blvd:99th Av,37.747084,-122.157144,58485,,
1014720,MacArthur Blvd:Adams St,37.815938,-122.252311,55868,,
1014730,MacArthur Blvd:Adell Ct,37.800820,-122.219118,59916,,
1014740,MacArthur Blvd:Alma Av,37.805605,-122.237520,59211,,
1014750,MacArthur Blvd:Alma Av (Oakland High School),37.805605,-122.237521,53500,,
1014760,MacArthur Blvd:Athol Av,37.807074,-122.241306,55699,,
1014770,MacArthur Blvd:Athol Av,37.807008,-122.241530,58285,,
