shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
ae2f570a-f699-4f00-9cfd-4ed774fd8f0b,37.7034670,-122.3374850,9,13728.1478059
ae2f570a-f699-4f00-9cfd-4ed774fd8f0b,37.6731630,-122.3634660,10,17798.0719806
ae2f570a-f699-4f00-9cfd-4ed774fd8f0b,37.6645920,-122.3707620,11,18946.6847124
ae2f570a-f699-4f00-9cfd-4ed774fd8f0b,37.6643920,-122.3714300,12,19009.6647482
ae2f570a-f699-4f00-9cfd-4ed774fd8f0b,37.6642010,-122.3725830,13,19113.5807925
ae2f570a-f699-4f00-9cfd-4ed774fd8f0b,37.6641840,-122.3735270,14,19196.8926600
ae2f570a-f699-4f00-9cfd-4ed774fd8f0b,37.6642330,-122.3771180,15,19513.7784380
ae2f570a-f699-4f00-9cfd-4ed774fd8f0b,37.6642120,-122.3772040,16,19521.7162500
ae2f570a-f699-4f00-9cfd-4ed774fd8f0b,37.6641440,-122.3772660,17,19531.0375653
ae2f570a-f699-4f00-9cfd-4ed774fd8f0b,37.6637670,-122.3772720,18,19572.8841921
ae2f570a-f699-4f00-9cfd-4ed774fd8f0b,37.6626760,-122.3772450,19,19693.9978376
dee52e05-f26f-4739-87b9-91e055a57b72,37.7365280,-122.2569660,1,0.0000000
dee52e05-f26f-4739-87b9-91e055a57b72,37.7362350,-122.2574070,2,50.6817902
dee52e05-f26f-4739-87b9-91e055a57b72,37.7358360,-122.2584050,3,149.1700952
dee52e05-f26f-4739-87b9-91e055a57b72,37.7355220,-122.2596500,4,264.3138442
dee52e05-f26f-4739-87b9-91e055a57b72,37.7355140,-122.2599830,5,293.6802111
dee52e05-f26f-4739-87b9-91e055a57b72,37.7355390,-122.2606370,6,351.3950618
dee52e05-f26f-4739-87b9-91e055a57b72,37.7357000,-122.2612380,7,407.3039803
dee52e05-f26f-4739-87b9-91e055a57b72,37.7567480,-122.3041340,8,4851.4692002
dee52e05-f26f-4739-87b9-91e055a57b72,37.7861000,-122.3639040,9,11043.7445074
dee52e05-f26f-4739-87b9-91e055a57b72,37.7927130,-122.3751370,10,12275.7069214
dee52e05-f26f-4739-87b9-91e055a57b72,37.7960110,-122.3835270,11,13100.3692355
dee52e05-f26f-4739-87b9-91e055a57b72,37.7960360,-122.3867030,12,13380.1097800
dee52e05-f26f-4739-87b9-91e055a57b72,37.7959170,-122.3897390,13,13647.8322166
dee52e05-f26f-4739-87b9-91e055a57b72,37.7959000,-122.3920560,14,13851.9114556
ebf588c8-319a-4060-a9d7-2f6ea7a09dd9,37.6626700,-122.3772500,1,0.0000000
ebf588c8-319a-4060-a9d7-2f6ea7a09dd9,37.6637600,-122.3772800,2,121.0081775
ebf588c8-319a-4060-a9d7-2f6ea7a09dd9,37.6641400,-122.3772700,3,163.1936538
ebf588c8-319a-4060-a9d7-2f6ea7a09dd9,37.6642100,-122.3772100,4,172.5951124
ebf588c8-319a-4060-a9d7-2f6ea7a09dd9,37.6642300,-122.3771200,5,180.8403704
ebf588c8-319a-4060-a9d7-2f6ea7a09dd9,37.6641800,-122.3735300,6,497.6398697
ebf588c8-319a-4060-a9d7-2f6ea7a09dd9,37.6642000,-122.3725900,7,580.6071460
ebf588c8-319a-4060-a9d7-2f6ea7a09dd9,37.6643900,-122.3714300,8,685.1054446
ebf588c8-319a-4060-a9d7-2f6ea7a09dd9,37.6645900,-122.3707700,9,747.4254264
ebf588c8-319a-4060-a9d7-2f6ea7a09dd9,37.6731600,-122.3634700,10,1896.1440725
ebf588c8-319a-4060-a9d7-2f6ea7a09dd9,37.7034600,-122.3374900,11,5965.6517736
ebf588c8-319a-4060-a9d7-2f6ea7a09dd9,37.7402300,-122.3246500,12,10200.8873340
ebf588c8-319a-4060-a9d7-2f6ea7a09dd9,37.7715300,-122.3343800,13,13779.1809859
ebf588c8-319a-4060-a9d7-2f6ea7a09dd9,37.7856000,-122.3630100,14,16745.6953978
ebf588c8-319a-4060-a9d7-2f6ea7a09dd9,37.7927000,-122.3751400,15,18073.3267474
ebf588c8-319a-4060-a9d7-2f6ea7a09dd9,37.7960000,-122.3835200,16,18897.2986687
ebf588c8-319a-4060-a9d7-2f6ea7a09dd9,37.7965400,-122.3849100,17,19033.6070909
ebf588c8-319a-4060-a9d7-2f6ea7a09dd9,37.7962600,-122.3919200,18,19651.7926743
ebf588c8-319a-4060-a9d7-2f6ea7a09dd9,37.7959000,-122.3920600,19,19693.6093091
f4901e45-511d-4a61-b160-c9d5108bdb58,37.7906670,-122.2940582,1,0.0000000
f4901e45-511d-4a61-b160-c9d5108bdb58,37.7911910,-122.2941570,2,58.8068941
f4901e45-511d-4a61-b160-c9d5108bdb58,37.7913080,-122.2941840,3,72.0089857
f4901e45-511d-4a61-b160-c9d5108bdb58,37.7918950,-122.2940180,4,138.7820918
f4901e45-511d-4a61-b160-c9d5108bdb58,37.7937260,-122.2803840,5,1356.7261993
f4901e45-511d-4a61-b160-c9d5108bdb58,37.7939210,-122.2800570,6,1392.7534982
f4901e45-511d-4a61-b160-c9d5108bdb58,37.7941880,-122.2800460,7,1422.4043509
f4901e45-511d-4a61-b160-c9d5108bdb58,37.7944420,-122.2801480,8,1451.9932931
f4901e45-511d-4a61-b160-c9d5108bdb58,37.7950320,-122.2797770,9,1525.1784105
f4901e45-511d-4a61-b160-c9d5108bdb58,37.7944420,-122.2801480,10,1598.3635279
f4901e45-511d-4a61-b160-c9d5108bdb58,37.7940020,-122.2805950,11,1661.0936499
f4901e45-511d-4a61-b160-c9d5108bdb58,37.7938490,-122.2810030,12,1700.8398147
f4901e45-511d-4a61-b160-c9d5108bdb58,37.7939510,-122.2836850,13,1937.3353518
f4901e45-511d-4a61-b160-c9d5108bdb58,37.7938070,-122.2860350,14,2144.9341888
f4901e45-511d-4a61-b160-c9d5108bdb58,37.7924170,-122.2936420,15,2832.4814672
f4901e45-511d-4a61-b160-c9d5108bdb58,37.7921370,-122.2968070,16,3112.9804558
f4901e45-511d-4a61-b160-c9d5108bdb58,37.7919340,-122.3003900,17,3429.3740931
f4901e45-511d-4a61-b160-c9d5108bdb58,37.7923070,-122.3041670,18,3764.6176999
f4901e45-511d-4a61-b160-c9d5108bdb58,37.7986950,-122.3309570,19,6228.3933211
f4901e45-511d-4a61-b160-c9d5108bdb58,37.7988090,-122.3327000,20,6382.4233114
f4901e45-511d-4a61-b160-c9d5108bdb58,37.7973930,-122.3654870,21,9274.3373264
f4901e45-511d-4a61-b160-c9d5108bdb58,37.7962430,-122.3919340,22,11607.1313900
f4901e45-511d-4a61-b160-c9d5108bdb58,37.7959000,-122.3920560,23,11646.6891856
